Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
67.0 L,35.48 K,4,Barrackpore,1440,4.65,35.48,6700
99.0 L,49.15 K,5,Behala,2500,3.96,49.15,9900
31.99 L,16.94 K,3,Joka,1400,2.29,16.94,3199
75.0 L,39.72 K,9,Taratala,1450,5.17,39.72,7500
5.25 Cr,2.61 Lacs,9,Jodhpur Park,4000,13.13,261,52500
4.0 Cr,1.99 Lacs,10,Salt Lake City,3000,13.33,199,40000
1.1 Cr,54.61 K,4,New Town,2584,4.26,54.61,11000
24.5 L,12.97 K,2,Mohispota,720,3.4,12.97,2450
70.0 L,37.07 K,4,Maheshtala,2000,3.5,37.07,7000
80.0 L,39.72 K,5,Naihati,2200,3.64,39.72,8000
1.3 Cr,64.54 K,6,Birati,6000,2.17,64.54,13000
50.0 L,26.48 K,2,Amtala,9720,514/sq.ft,26.48,5000
60.0 L,31.77 K,5,Maheshtala,1800,3.33,31.77,6000
6.25 Cr,3.10 Lacs,6,Gariahat,6068,10.3,310,62500
75.0 L,39.72 K,5,New Barrakpur,2886,2.6,39.72,7500
57.0 L,30.18 K,4,Rajpur Sonarpur,1440,3.96,30.18,5700
93.0 L,46.17 K,5,Madhyamgram,1876,4.96,46.17,9300
80.0 L,39.72 K,5,Behala,2000,4,39.72,8000
90.0 L,44.68 K,7,Khardah,2500,3.6,44.68,9000
87.0 L,43.19 K,5,Belghoria,2500,3.48,43.19,8700
75.0 L,39.72 K,5,Sodepur,2000,3.75,39.72,7500
